srcIP	dstIP	srcPort	dstPort	protocol	timeStamp	add/rmv
1895100937	176283407	43899	62629	17	1709879253	1
1885703204	176283407	18104	62629	17	1709879253	1
176283407	1895100937	62629	43899	17	1709879253	1
176283407	1885703204	62629	18104	17	1709879253	1
2028673667	176283407	17286	62629	17	1709879253	1
1928324131	176283407	11659	62629	17	1709879253	1
176283407	1864383051	62629	26205	17	1709879253	1
176283407	1928324131	62629	11659	17	1709879253	1
3060009358	176283407	17413	62629	17	1709879253	1
176283407	2028673667	62629	17286	17	1709879253	1
176283407	3060009358	62629	17413	17	1709879253	1
2044964678	176283407	35285	62629	17	1709879253	1
176283407	1033989541	62629	58182	17	1709879253	1
176283407	2044964678	62629	35285	17	1709879253	1
1033989541	176283407	58182	62629	17	1709879253	1
176283407	2075590098	62629	38653	17	1709879253	1
2075590098	176283407	38653	62629	17	1709879253	1
3746220354	176283407	22247	62629	17	1709879253	1
1974869082	176283407	42324	62629	17	1709879253	1
176283407	3746220354	62629	22247	17	1709879253	1
0	0	0	0	0	1709879253	1
176283407	1974869082	62629	42324	17	1709879253	1
176283407	664973714	62629	55058	17	1709879253	1
176283407	3232235799	62629	35296	17	1709879253	1
2053152156	176283407	7578	62629	17	1709879253	1
176283407	2053152156	62629	7578	17	1709879253	1
3658004524	176283407	17107	62629	17	1709879254	1
176283407	3658004524	62629	17107	17	1709879254	1
176283407	3546759929	62629	4241	17	1709879254	1
1879101196	176283407	10227	62629	17	1709879254	1
176283407	1879101196	62629	10227	17	1709879254	1
3083184523	176283407	32734	62629	17	1709879254	1
176283407	3083184523	62629	32734	17	1709879254	1
176283407	1974287414	62629	60375	17	1709879254	1
176283407	3748300858	62629	2476	17	1709879254	1
176283407	2569337882	62629	1177	17	1709879254	1
176283407	2073710600	62629	61018	17	1709879254	1
176283407	2028673667	62629	17141	17	1709879254	1
176283407	1857686381	62629	31140	17	1709879254	1
176283407	1882321972	62629	45230	17	1709879254	1
176283407	1021059269	62629	18730	17	1709879254	1
176283407	1864991126	62629	3838	17	1709879254	1
176283407	3748300858	62629	2419	17	1709879254	1
176283407	453828518	62629	35481	17	1709879254	1
176283407	3745721845	62629	1295	17	1709879254	1
176283407	1863467975	62629	7467	17	1709879254	1
176283407	453828518	62629	1228	17	1709879254	1
176283407	1974287414	62629	60346	17	1709879254	1
176283407	2043441168	62629	32287	17	1709879254	1
176283407	2043441168	62629	10286	17	1709879254	1
176283407	3658918150	62629	35037	17	1709879254	1
176283407	1863467975	62629	7622	17	1709879254	1
176283407	3232235779	62629	36582	17	1709879254	1
176283407	1974919333	62629	47181	17	1709879254	1
176283407	1881757023	62629	27460	17	1709879254	1
1974919333	176283407	47181	62629	17	1709879254	1
176283407	1881743130	62629	1124	17	1709879254	1
176283407	3745721845	62629	1451	17	1709879254	1
176283407	2569337882	62629	15181	17	1709879254	1
2043441168	176283407	32287	62629	17	1709879254	1
1857686381	176283407	31140	62629	17	1709879254	1
1974287414	176283407	60375	62629	17	1709879254	1
1882321972	176283407	45230	62629	17	1709879254	1
2073710600	176283407	61018	62629	17	1709879254	1
176283407	1864991126	62629	3951	17	1709879254	1
453828518	176283407	1228	62629	17	1709879254	1
3748300858	176283407	2476	62629	17	1709879254	1
2569337882	176283407	1177	62629	17	1709879254	1
3745721845	176283407	1295	62629	17	1709879254	1
1881743130	176283407	1124	62629	17	1709879254	1
1863467975	176283407	7467	62629	17	1709879254	1
1881757023	176283407	27460	62629	17	1709879254	1
176283407	3083383591	62629	5703	17	1709879254	1
3546759929	176283407	4241	62629	17	1709879254	1
3658918150	176283407	35037	62629	17	1709879254	1
176283407	1894389061	62629	39307	17	1709879254	1
1864991126	176283407	3951	62629	17	1709879254	1
176283407	664100620	62629	18857	17	1709879254	1
3083383591	176283407	5703	62629	17	1709879254	1
1894389061	176283407	39307	62629	17	1709879254	1
664100620	176283407	18857	62629	17	1709879254	1
3663520489	176283407	31681	62629	17	1709879254	1
176283407	3663520489	62629	31681	17	1709879254	1
176283407	1682328875	62629	34554	17	1709879254	1
720940698	176283407	36911	62629	17	1709879254	1
176283407	720940698	62629	36911	17	1709879254	1
1895100937	176283407	43899	62629	17	1709879254	0
1885703204	176283407	18104	62629	17	1709879254	0
176283407	1895100937	62629	43899	17	1709879254	0
176283407	1885703204	62629	18104	17	1709879254	0
176283407	1864383051	62629	26205	17	1709879254	0
3060009358	176283407	17413	62629	17	1709879254	0
176283407	3060009358	62629	17413	17	1709879254	0
3746220354	176283407	22247	62629	17	1709879254	0
1974869082	176283407	42324	62629	17	1709879254	0
176283407	3746220354	62629	22247	17	1709879254	0
176283407	1974869082	62629	42324	17	1709879254	0
2053152156	176283407	7578	62629	17	1709879254	0
176283407	2053152156	62629	7578	17	1709879254	0
1880427694	176283407	3141	62629	17	1709879255	1
176283407	1880427694	62629	3141	17	1709879255	1
143002614	176283407	3478	62629	17	1709879255	1
176283407	143002614	62629	3478	17	1709879255	1
1880529465	176283407	11669	62629	17	1709879255	1
3083519477	176283407	4690	62629	17	1709879255	1
176283407	1880529465	62629	11669	17	1709879255	1
176283407	3083519477	62629	4690	17	1709879255	1
1785884143	176283407	3326	62629	17	1709879255	1
176283407	1785884143	62629	3326	17	1709879255	1
1984879814	176283407	64976	62629	17	1709879255	1
176283407	1984879814	62629	64976	17	1709879255	1
3740747046	176283407	23322	62629	17	1709879255	1
1033587869	176283407	21525	62629	17	1709879255	1
176283407	3740747046	62629	23322	17	1709879255	1
176283407	1033587869	62629	21525	17	1709879255	1
3745652962	176283407	14362	62629	17	1709879255	1
176283407	3745652962	62629	14362	17	1709879255	1
3658004524	176283407	17107	62629	17	1709879255	0
176283407	3658004524	62629	17107	17	1709879255	0
176283407	3546759929	62629	4241	17	1709879255	0
1879101196	176283407	10227	62629	17	1709879255	0
1928324131	176283407	11659	62629	17	1709879255	0
176283407	1879101196	62629	10227	17	1709879255	0
176283407	1928324131	62629	11659	17	1709879255	0
3083184523	176283407	32734	62629	17	1709879255	0
176283407	3083184523	62629	32734	17	1709879255	0
176283407	2075590098	62629	38653	17	1709879255	0
2075590098	176283407	38653	62629	17	1709879255	0
176283407	1974287414	62629	60375	17	1709879255	0
176283407	3748300858	62629	2476	17	1709879255	0
176283407	2569337882	62629	1177	17	1709879255	0
176283407	2073710600	62629	61018	17	1709879255	0
176283407	2028673667	62629	17286	17	1709879255	0
176283407	2028673667	62629	17141	17	1709879255	0
176283407	1857686381	62629	31140	17	1709879255	0
176283407	1882321972	62629	45230	17	1709879255	0
176283407	1864991126	62629	3838	17	1709879255	0
176283407	3748300858	62629	2419	17	1709879255	0
176283407	453828518	62629	35481	17	1709879255	0
176283407	3745721845	62629	1295	17	1709879255	0
176283407	1863467975	62629	7467	17	1709879255	0
176283407	453828518	62629	1228	17	1709879255	0
176283407	1974287414	62629	60346	17	1709879255	0
176283407	2043441168	62629	32287	17	1709879255	0
176283407	2043441168	62629	10286	17	1709879255	0
176283407	3658918150	62629	35037	17	1709879255	0
176283407	1863467975	62629	7622	17	1709879255	0
176283407	3232235779	62629	36582	17	1709879255	0
2028673667	176283407	17286	62629	17	1709879255	0
176283407	1974919333	62629	47181	17	1709879255	0
176283407	1881757023	62629	27460	17	1709879255	0
1974919333	176283407	47181	62629	17	1709879255	0
176283407	1881743130	62629	1124	17	1709879255	0
176283407	3745721845	62629	1451	17	1709879255	0
176283407	2569337882	62629	15181	17	1709879255	0
2043441168	176283407	32287	62629	17	1709879255	0
1857686381	176283407	31140	62629	17	1709879255	0
1974287414	176283407	60375	62629	17	1709879255	0
1882321972	176283407	45230	62629	17	1709879255	0
2073710600	176283407	61018	62629	17	1709879255	0
176283407	1864991126	62629	3951	17	1709879255	0
453828518	176283407	1228	62629	17	1709879255	0
3748300858	176283407	2476	62629	17	1709879255	0
2569337882	176283407	1177	62629	17	1709879255	0
3745721845	176283407	1295	62629	17	1709879255	0
1881743130	176283407	1124	62629	17	1709879255	0
1863467975	176283407	7467	62629	17	1709879255	0
1881757023	176283407	27460	62629	17	1709879255	0
176283407	3083383591	62629	5703	17	1709879255	0
3546759929	176283407	4241	62629	17	1709879255	0
3658918150	176283407	35037	62629	17	1709879255	0
176283407	1894389061	62629	39307	17	1709879255	0
1864991126	176283407	3951	62629	17	1709879255	0
176283407	664100620	62629	18857	17	1709879255	0
3083383591	176283407	5703	62629	17	1709879255	0
1894389061	176283407	39307	62629	17	1709879255	0
664100620	176283407	18857	62629	17	1709879255	0
3663520489	176283407	31681	62629	17	1709879255	0
176283407	3663520489	62629	31681	17	1709879255	0
176283407	1682328875	62629	34554	17	1709879255	0
720940698	176283407	36911	62629	17	1709879255	0
176283407	720940698	62629	36911	17	1709879255	0
